iter	Passed	Remaining
1016	14540	271412
1017	14554	271394
1018	14569	271392
1019	14584	271377
1020	14598	271358
1021	14612	271342
1022	14626	271327
1023	14640	271309
1024	14654	271292
1025	14669	271279
1026	14683	271268
1027	14698	271257
1028	14714	271281
1029	14728	271259
1030	14742	271247
1031	14756	271228
1032	14770	271210
1033	14784	271189
1034	14799	271177
1035	14813	271158
1036	14828	271155
1037	14843	271151
1038	14858	271156
1039	14872	271142
1040	14887	271128
1041	14902	271132
1042	14916	271114
1043	14930	271095
1044	14944	271069
1045	14958	271047
1046	14972	271031
1047	14986	271008
1048	15000	270996
1049	15014	270980
1050	15032	271035
1051	15046	271005
1052	15060	270985
1053	15074	270969
1054	15088	270942
1055	15101	270918
1056	15115	270896
1057	15129	270865
1058	15143	270846
1059	15159	270867
1060	15173	270844
1061	15190	270875
1062	15203	270846
1063	15217	270819
1064	15234	270860
1065	15247	270824
1066	15260	270792
1067	15275	270774
1068	15288	270745
1069	15302	270718
1070	15315	270690
1071	15329	270672
1072	15343	270650
1073	15357	270621
1074	15370	270601
1075	15384	270573
1076	15398	270552
1077	15412	270533
1078	15426	270512
1079	15440	270489
1080	15454	270466
1081	15468	270448
1082	15482	270430
1083	15495	270407
1084	15510	270390
1085	15523	270363
1086	15537	270342
1087	15551	270321
1088	15565	270300
1089	15579	270278
1090	15593	270258
1091	15607	270237
1092	15621	270220
1093	15635	270199
1094	15649	270179
1095	15662	270150
1096	15676	270135
1097	15690	270114
1098	15704	270099
1099	15718	270075
1100	15732	270055
1101	15746	270038
1102	15760	270019
1103	15774	269991
1104	15788	269967
1105	15802	269954
1106	15816	269937
1107	15830	269914
1108	15844	269895
1109	15858	269876
1110	15872	269855
1111	15886	269842
1112	15900	269824
1113	15914	269799
1114	15928	269781
1115	15942	269764
1116	15956	269746
1117	15970	269733
1118	15984	269706
1119	15998	269683
1120	16011	269659
1121	16026	269645
1122	16040	269632
1123	16054	269618
1124	16068	269595
1125	16082	269574
1126	16096	269551
1127	16110	269530
1128	16126	269545
1129	16139	269517
1130	16153	269488
1131	16167	269471
1132	16181	269451
1133	16194	269428
1134	16208	269410
1135	16222	269382
1136	16236	269359
1137	16249	269333
1138	16263	269316
1139	16278	269301
1140	16291	269279
1141	16305	269252
1142	16319	269239
1143	16333	269221
1144	16347	269202
1145	16361	269185
1146	16376	269177
1147	16391	269172
1148	16405	269158
1149	16419	269132
1150	16433	269118
1151	16447	269100
1152	16462	269093
1153	16476	269070
1154	16490	269058
1155	16503	269030
1156	16517	269012
1157	16532	269010
1158	16546	268988
1159	16561	268974
1160	16575	268956
1161	16588	268933
1162	16602	268909
1163	16616	268890
1164	16630	268872
1165	16644	268849
1166	16658	268832
1167	16672	268815
1168	16686	268792
1169	16700	268779
1170	16713	268751
1171	16727	268726
1172	16741	268698
1173	16755	268681
1174	16769	268662
1175	16783	268647
1176	16796	268618
1177	16810	268595
1178	16823	268568
1179	16837	268546
1180	16851	268527
1181	16865	268503
1182	16878	268474
1183	16898	268550
1184	16912	268534
1185	16927	268522
1186	16941	268503
1187	16955	268485
1188	16969	268467
1189	16982	268443
1190	16997	268428
1191	17010	268405
1192	17024	268381
1193	17038	268362
1194	17052	268343
1195	17066	268323
1196	17079	268296
1197	17093	268270
1198	17106	268246
1199	17121	268232
1200	17134	268205
1201	17148	268185
1202	17161	268156
1203	17175	268134
1204	17189	268117
1205	17204	268106
1206	17218	268087
1207	17231	268062
1208	17245	268042
1209	17259	268016
1210	17274	268011
1211	17287	267990
1212	17301	267973
1213	17316	267962
1214	17330	267948
1215	17344	267934
1216	17358	267912
1217	17373	267904
1218	17387	267883
1219	17401	267866
1220	17415	267851
1221	17429	267833
1222	17443	267815
1223	17457	267800
1224	17471	267780
1225	17485	267764
1226	17500	267748
1227	17514	267733
1228	17528	267713
1229	17541	267691
1230	17555	267672
1231	17569	267656
1232	17583	267629
1233	17597	267606
1234	17611	267588
1235	17624	267557
1236	17638	267544
1237	17652	267519
1238	17665	267492
1239	17679	267470
1240	17693	267451
1241	17707	267437
1242	17721	267423
1243	17736	267410
1244	17750	267396
1245	17764	267383
1246	17779	267376
1247	17822	267796
1248	17857	268087
1249	17885	268286
1250	17901	268287
1251	17915	268271
1252	17929	268262
1253	17943	268239
1254	17957	268221
1255	17971	268201
1256	17988	268219
1257	18002	268199
1258	18015	268177
1259	18029	268153
1260	18043	268136
1261	18057	268110
1262	18072	268106
1263	18086	268085
1264	18099	268063
1265	18113	268034
1266	18126	268008
1267	18140	267985
1268	18154	267964
1269	18168	267956
1270	18182	267935
1271	18197	267930
1272	18212	267916
1273	18226	267898
1274	18240	267879
1275	18253	267858
1276	18268	267841
1277	18281	267821
1278	18295	267796
1279	18309	267773
1280	18323	267757
1281	18337	267734
1282	18351	267715
1283	18364	267690
1284	18378	267663
1285	18391	267635
1286	18405	267611
1287	18419	267592
1288	18433	267575
1289	18446	267549
1290	18460	267529
1291	18474	267511
1292	18488	267486
1293	18501	267458
1294	18515	267435
1295	18528	267410
1296	18542	267389
1297	18556	267362
1298	18569	267339
1299	18583	267319
1300	18597	267300
1301	18611	267280
1302	18625	267266
1303	18639	267248
1304	18653	267230
1305	18667	267206
1306	18681	267183
1307	18694	267159
1308	18709	267145
1309	18723	267127
1310	18736	267102
1311	18750	267082
1312	18767	267108
1313	18781	267091
1314	18795	267066
1315	18809	267050
1316	18823	267028
1317	18837	267009
1318	18850	266986
1319	18865	266968
1320	18879	266954
1321	18893	266933
1322	18906	266909
1323	18923	266929
1324	18937	266909
1325	18950	266883
1326	18964	266857
1327	18977	266832
1328	18991	266804
1329	19005	266785
1330	19018	266764
1331	19032	266742
1332	19046	266716
1333	19059	266693
1334	19073	266675
1335	19087	266653
1336	19100	266627
1337	19114	266609
1338	19129	266591
1339	19143	266574
1340	19157	266555
1341	19170	266531
1342	19184	266508
1343	19197	266483
1344	19210	266452
1345	19224	266422
1346	19237	266399
1347	19251	266380
1348	19265	266358
1349	19279	266342
1350	19293	266325
1351	19307	266304
1352	19321	266285
1353	19335	266263
1354	19348	266243
1355	19363	266228
1356	19376	266208
1357	19390	266186
1358	19404	266162
1359	19417	266139
1360	19432	266123
1361	19446	266106
1362	19459	266084
1363	19473	266061
1364	19487	266042
1365	19501	266021
1366	19514	265996
1367	19528	265977
1368	19542	265956
1369	19555	265930
1370	19569	265910
1371	19583	265888
1372	19597	265870
1373	19610	265845
1374	19624	265824
1375	19638	265800
1376	19651	265774
1377	19665	265752
1378	19678	265729
1379	19692	265709
1380	19707	265697
1381	19721	265677
1382	19734	265654
1383	19748	265635
1384	19762	265611
1385	19776	265593
1386	19790	265577
1387	19803	265555
1388	19817	265534
1389	19831	265507
1390	19848	265538
1391	19862	265519
1392	19876	265498
1393	19890	265480
1394	19904	265464
1395	19918	265443
1396	19932	265425
