"","metric_name","cluster_num","window","overlap","dist","metric_value"
"301","COP","5","180","0.25","dtw_basic",0.0689407936751939
"302","Sil","6","180","0.25","dtw_basic",0.32827089016684
"303","SF","6","180","0.25","dtw_basic",0
"304","CH","6","180","0.25","dtw_basic",4008.28293931995
"305","DB","6","180","0.25","dtw_basic",0.793856039106646
"306","DBstar","6","180","0.25","dtw_basic",1.08768666556297
"307","D","6","180","0.25","dtw_basic",0.00371621621621622
"308","COP","6","180","0.25","dtw_basic",0.0601011651046348
"309","Sil","7","180","0.25","dtw_basic",0.291870161673788
"310","SF","7","180","0.25","dtw_basic",0
"311","CH","7","180","0.25","dtw_basic",3341.67135602312
"312","DB","7","180","0.25","dtw_basic",1.25731782410936
"313","DBstar","7","180","0.25","dtw_basic",1.81117961807164
"314","D","7","180","0.25","dtw_basic",0.00216626049282426
"315","COP","7","180","0.25","dtw_basic",0.0609485400709668
"316","Sil","3","180","0.5","dtw_basic",0.413986391410139
"317","SF","3","180","0.5","dtw_basic",0
"318","CH","3","180","0.5","dtw_basic",7533.88374918075
"319","DB","3","180","0.5","dtw_basic",0.611286824989243
"320","DBstar","3","180","0.5","dtw_basic",0.817214298576547
"321","D","3","180","0.5","dtw_basic",0.00135531962954597
"322","COP","3","180","0.5","dtw_basic",0.149845217060623
"323","Sil","4","180","0.5","dtw_basic",0.360976361718682
"324","SF","4","180","0.5","dtw_basic",0
"325","CH","4","180","0.5","dtw_basic",6900.79366230476
"326","DB","4","180","0.5","dtw_basic",0.784692622904396
"327","DBstar","4","180","0.5","dtw_basic",1.08186528661302
"328","D","4","180","0.5","dtw_basic",0.00148257968865827
"329","COP","4","180","0.5","dtw_basic",0.0957347024411653
"330","Sil","5","180","0.5","dtw_basic",0.317313832056193
"331","SF","5","180","0.5","dtw_basic",0
"332","CH","5","180","0.5","dtw_basic",5966.02552656849
"333","DB","5","180","0.5","dtw_basic",0.705431378998027
"334","DBstar","5","180","0.5","dtw_basic",1.13406940667851
"335","D","5","180","0.5","dtw_basic",0.00172796840286349
"336","COP","5","180","0.5","dtw_basic",0.0833694607727518
"337","Sil","6","180","0.5","dtw_basic",0.326261686550235
"338","SF","6","180","0.5","dtw_basic",0
"339","CH","6","180","0.5","dtw_basic",5579.21197993795
"340","DB","6","180","0.5","dtw_basic",0.788970543049181
"341","DBstar","6","180","0.5","dtw_basic",1.15789550567622
"342","D","6","180","0.5","dtw_basic",0.00166759310728183
"343","COP","6","180","0.5","dtw_basic",0.0567559391584653
"344","Sil","7","180","0.5","dtw_basic",0.297435116809575
"345","SF","7","180","0.5","dtw_basic",0
"346","CH","7","180","0.5","dtw_basic",5433.15115240954
"347","DB","7","180","0.5","dtw_basic",0.818793478226693
"348","DBstar","7","180","0.5","dtw_basic",1.28047701690325
"349","D","7","180","0.5","dtw_basic",0.00169348010160881
"350","COP","7","180","0.5","dtw_basic",0.0586044902191332
"351","Sil","3","180","0.75","dtw_basic",0.424515976415929
"352","SF","3","180","0.75","dtw_basic",0
"353","CH","3","180","0.75","dtw_basic",19563.7303216135
"354","DB","3","180","0.75","dtw_basic",0.581304408992657
"355","DBstar","3","180","0.75","dtw_basic",0.772839280861528
"356","D","3","180","0.75","dtw_basic",0.000693160813308686
"357","COP","3","180","0.75","dtw_basic",0.134772142940132
"358","Sil","4","180","0.75","dtw_basic",0.362261188232927
"359","SF","4","180","0.75","dtw_basic",0
"360","CH","4","180","0.75","dtw_basic",15468.9224494464
"361","DB","4","180","0.75","dtw_basic",0.747158899744862
"362","DBstar","4","180","0.75","dtw_basic",1.0049521288949
"363","D","4","180","0.75","dtw_basic",0.000259605399792315
"364","COP","4","180","0.75","dtw_basic",0.0873040851714383
"365","Sil","5","180","0.75","dtw_basic",0.336207001640863
"366","SF","5","180","0.75","dtw_basic",0
"367","CH","5","180","0.75","dtw_basic",13496.9674327088
"368","DB","5","180","0.75","dtw_basic",0.746464482575778
"369","DBstar","5","180","0.75","dtw_basic",1.07977558463612
"370","D","5","180","0.75","dtw_basic",0.00051137816415239
"371","COP","5","180","0.75","dtw_basic",0.080601965995028
"372","Sil","6","180","0.75","dtw_basic",0.326027768455288
"373","SF","6","180","0.75","dtw_basic",0
"374","CH","6","180","0.75","dtw_basic",11978.1538973109
"375","DB","6","180","0.75","dtw_basic",0.697694263228124
"376","DBstar","6","180","0.75","dtw_basic",1.0311356953199
"377","D","6","180","0.75","dtw_basic",0.000277238702522871
"378","COP","6","180","0.75","dtw_basic",0.0640369890564124
"379","Sil","7","180","0.75","dtw_basic",0.296123863283905
"380","SF","7","180","0.75","dtw_basic",0
"381","CH","7","180","0.75","dtw_basic",10475.8177956414
"382","DB","7","180","0.75","dtw_basic",0.997508241338762
"383","DBstar","7","180","0.75","dtw_basic",1.50797740649463
"384","D","7","180","0.75","dtw_basic",0
"385","COP","7","180","0.75","dtw_basic",0.0595630348630087
"386","Sil","3","180","0","dtw_basic",0.425402815239433
"387","SF","3","180","0","dtw_basic",0
"388","CH","3","180","0","dtw_basic",4182.07009137166
"389","DB","3","180","0","dtw_basic",0.590393453960109
"390","DBstar","3","180","0","dtw_basic",0.791996240630856
"391","D","3","180","0","dtw_basic",0.00184842883548984
"392","COP","3","180","0","dtw_basic",0.135279645431611
"393","Sil","4","180","0","dtw_basic",0.359011004623333
"394","SF","4","180","0","dtw_basic",0
"395","CH","4","180","0","dtw_basic",3416.67359329895
"396","DB","4","180","0","dtw_basic",0.721359243810304
"397","DBstar","4","180","0","dtw_basic",1.02836281573503
"398","D","4","180","0","dtw_basic",0.00275068767191798
"399","COP","4","180","0","dtw_basic",0.0964749765018355
"400","Sil","5","180","0","dtw_basic",0.341175310289406
"401","SF","5","180","0","dtw_basic",0
"402","CH","5","180","0","dtw_basic",3341.69525208402
"403","DB","5","180","0","dtw_basic",0.706145072524569
"404","DBstar","5","180","0","dtw_basic",0.954580813306258
"405","D","5","180","0","dtw_basic",0.00213106020245072
"406","COP","5","180","0","dtw_basic",0.0691622548125485
"407","Sil","6","180","0","dtw_basic",0.327567130446083
"408","SF","6","180","0","dtw_basic",0
"409","CH","6","180","0","dtw_basic",3055.54794804314
"410","DB","6","180","0","dtw_basic",0.73774072682844
"411","DBstar","6","180","0","dtw_basic",1.04154915247007
"412","D","6","180","0","dtw_basic",0.00223072020395156
"413","COP","6","180","0","dtw_basic",0.0562156437362127
"414","Sil","7","180","0","dtw_basic",0.282477462068047
"415","SF","7","180","0","dtw_basic",0
"416","CH","7","180","0","dtw_basic",2482.11034885531
"417","DB","7","180","0","dtw_basic",0.860005390658836
"418","DBstar","7","180","0","dtw_basic",1.4674433112519
"419","D","7","180","0","dtw_basic",0.00191204588910134
"420","COP","7","180","0","dtw_basic",0.0563004458280893
"421","Sil","3","120","0.25","dtw_lb",0.496370868521216
"422","SF","3","120","0.25","dtw_lb",2.85046231063291e-09
"423","CH","3","120","0.25","dtw_lb",24433.5271848882
"424","DB","3","120","0.25","dtw_lb",0.532825291907885
"425","DBstar","3","120","0.25","dtw_lb",0.596036600617835
"426","D","3","120","0.25","dtw_lb",0
"427","COP","3","120","0.25","dtw_lb",0.119733078075059
"428","Sil","4","120","0.25","dtw_lb",0.402709088500475
"429","SF","4","120","0.25","dtw_lb",1.00878416731121e-10
"430","CH","4","120","0.25","dtw_lb",20160.8044220283
